 734: T2_WOOD                                                          : Birch Logs
 775: T5_ROCK_LEVEL2@2                                                 : Rare Granite
 776: T6_ROCK_LEVEL2@2                                                 : Rare Slate
 777: T7_ROCK_LEVEL2@2                                                 : Rare Basalt
 778: T8_ROCK_LEVEL2@2                                                 : Rare Marble
 779: T4_ROCK_LEVEL3@3                                                 : Exceptional Travertine
 780: T5_ROCK_LEVEL3@3                                                 : Exceptional Granite
 781: T6_ROCK_LEVEL3@3                                                 : Exceptional Slate
 782: T7_ROCK_LEVEL3@3                                                 : Exceptional Basalt
 783: T8_ROCK_LEVEL3@3                                                 : Exceptional Marble
 784: T2_ORE                                                           : Copper Ore
 785: T3_ORE                                                           : Tin Ore
 786: T4_ORE                                                           : Iron Ore
 787: T5_ORE                                                           : Titanium Ore
 788: T6_ORE                                                           : Runite Ore
 789: T7_ORE                                                           : Meteorite Ore
 790: T8_ORE                                                           : Adamantium Ore
 791: T4_ORE_LEVEL1@1                                                  : Uncommon Iron Ore
 792: T5_ORE_LEVEL1@1                                                  : Uncommon Titanium Ore
 793: T6_ORE_LEVEL1@1                                                  : Uncommon Runite Ore
 794: T7_ORE_LEVEL1@1                                                  : Uncommon Meteorite Ore
 795: T8_ORE_LEVEL1@1                                                  : Uncommon Adamantium Ore
 796: T4_ORE_LEVEL2@2                                                  : Rare Iron Ore
 797: T5_ORE_LEVEL2@2                                                  : Rare Titanium Ore
 798: T6_ORE_LEVEL2@2                                                  : Rare Runite Ore
 799: T7_ORE_LEVEL2@2                                                  : Rare Meteorite Ore
 800: T8_ORE_LEVEL2@2                                                  : Rare Adamantium Ore
 801: T4_ORE_LEVEL3@3                                                  : Exceptional Iron Ore
 802: T5_ORE_LEVEL3@3                                                  : Exceptional Titanium Ore
 803: T6_ORE_LEVEL3@3                                                  : Exceptional Runite Ore
 804: T7_ORE_LEVEL3@3                                                  : Exceptional Meteorite Ore
 805: T8_ORE_LEVEL3@3                                                  : Exceptional Adamantium Ore
 806: T4_ORE_LEVEL4@4                                                  : Pristine Iron Ore
 807: T5_ORE_LEVEL4@4                                                  : Pristine Titanium Ore
 808: T6_ORE_LEVEL4@4                                                  : Pristine Runite Ore
 809: T7_ORE_LEVEL4@4                                                  : Pristine Meteorite Ore
 810: T8_ORE_LEVEL4@4                                                  : Pristine Adamantium Ore
 812: T2_HIDE                                                          : Rugged Hide
 813: T3_HIDE                                                          : Thin Hide
 814: T4_HIDE                                                          : Medium Hide
 815: T5_HIDE                                                          : Heavy Hide
 816: T6_HIDE                                                          : Robust Hide
 817: T7_HIDE                                                          : Thick Hide
 818: T8_HIDE                                                          : Resilient Hide
 819: T4_HIDE_LEVEL1@1                                                 : Uncommon Medium Hide
 820: T5_HIDE_LEVEL1@1                                                 : Uncommon Heavy Hide
 821: T6_HIDE_LEVEL1@1                                                 : Uncommon Robust Hide
 822: T7_HIDE_LEVEL1@1                                                 : Uncommon Thick Hide
 823: T8_HIDE_LEVEL1@1                                                 : Uncommon Resilient Hide
 824: T4_HIDE_LEVEL2@2                                                 : Rare Medium Hide
 825: T5_HIDE_LEVEL2@2                                                 : Rare Heavy Hide
 826: T6_HIDE_LEVEL2@2                                                 : Rare Robust Hide
 827: T7_HIDE_LEVEL2@2                                                 : Rare Thick Hide
 828: T8_HIDE_LEVEL2@2                                                 : Rare Resilient Hide
 829: T4_HIDE_LEVEL3@3                                                 : Exceptional Medium Hide
 830: T5_HIDE_LEVEL3@3                                                 : Exceptional Heavy Hide
 831: T6_HIDE_LEVEL3@3                                                 : Exceptional Robust Hide
 832: T7_HIDE_LEVEL3@3                                                 : Exceptional Thick Hide
 833: T8_HIDE_LEVEL3@3                                                 : Exceptional Resilient Hide
 834: T4_HIDE_LEVEL4@4                                                 : Pristine Medium Hide
 835: T5_HIDE_LEVEL4@4                                                 : Pristine Heavy Hide
 836: T6_HIDE_LEVEL4@4                                                 : Pristine Robust Hide
 837: T7_HIDE_LEVEL4@4                                                 : Pristine Thick Hide
 838: T8_HIDE_LEVEL4@4                                                 : Pristine Resilient Hide
 839: T2_FIBER                                                         : Cotton
 840: T3_FIBER                                                         : Flax
 841: T4_FIBER                                                         : Hemp
 842: T5_FIBER                                                         : Skyflower
 843: T6_FIBER                                                         : Amberleaf Cotton
 844: T7_FIBER                                                         : Sunflax
 845: T8_FIBER                                                         : Ghost Hemp
 846: T4_FIBER_LEVEL1@1                                                : Uncommon Hemp
 847: T5_FIBER_LEVEL1@1                                                : Uncommon Skyflower
 848: T6_FIBER_LEVEL1@1                                                : Uncommon Amberleaf Cotton
 849: T7_FIBER_LEVEL1@1                                                : Uncommon Sunflax
 850: T8_FIBER_LEVEL1@1                                                : Uncommon Ghost Hemp
 851: T4_FIBER_LEVEL2@2                                                : Rare Hemp
 852: T5_FIBER_LEVEL2@2                                                : Rare Skyflower
 853: T6_FIBER_LEVEL2@2                                                : Rare Amberleaf Cotton
 854: T7_FIBER_LEVEL2@2                                                : Rare Sunflax
 855: T8_FIBER_LEVEL2@2                                                : Rare Ghost Hemp
 856: T4_FIBER_LEVEL3@3                                                : Exceptional Hemp
 857: T5_FIBER_LEVEL3@3                                                : Exceptional Skyflower
 858: T6_FIBER_LEVEL3@3                                                : Exceptional Amberleaf Cotton
 859: T7_FIBER_LEVEL3@3                                                : Exceptional Sunflax
 860: T8_FIBER_LEVEL3@3                                                : Exceptional Ghost Hemp
 861: T4_FIBER_LEVEL4@4                                                : Pristine Hemp
 862: T5_FIBER_LEVEL4@4                                                : Pristine Skyflower
 863: T6_FIBER_LEVEL4@4                                                : Pristine Amberleaf Cotton
 864: T7_FIBER_LEVEL4@4                                                : Pristine Sunflax
 865: T8_FIBER_LEVEL4@4                                                : Pristine Ghost Hemp
 866: T2_PLANKS                                                        : Birch Planks
 867: T3_PLANKS                                                        : Chestnut Planks
 868: T4_PLANKS                                                        : Pine Planks
 869: T5_PLANKS                                                        : Cedar Planks
 870: T6_PLANKS                                                        : Bloodoak Planks
 871: T7_PLANKS                                                        : Ashenbark Planks
 872: T8_PLANKS                                                        : Whitewood Planks
 873: T4_PLANKS_LEVEL1@1                                               : Uncommon Pine Planks
 874: T5_PLANKS_LEVEL1@1                                               : Uncommon Cedar Planks
 875: T6_PLANKS_LEVEL1@1                                               : Uncommon Bloodoak Planks
 876: T7_PLANKS_LEVEL1@1                                               : Uncommon Ashenbark Planks
 877: T8_PLANKS_LEVEL1@1                                               : Uncommon Whitewood Planks
 878: T4_PLANKS_LEVEL2@2                                               : Rare Pine Planks
 879: T5_PLANKS_LEVEL2@2                                               : Rare Cedar Planks
 880: T6_PLANKS_LEVEL2@2                                               : Rare Bloodoak Planks
 881: T7_PLANKS_LEVEL2@2                                               : Rare Ashenbark Planks
 882: T8_PLANKS_LEVEL2@2                                               : Rare Whitewood Planks
 883: T4_PLANKS_LEVEL3@3                                               : Exceptional Pine Planks
 884: T5_PLANKS_LEVEL3@3                                               : Exceptional Cedar Planks
 885: T6_PLANKS_LEVEL3@3                                               : Exceptional Bloodoak Planks
 886: T7_PLANKS_LEVEL3@3                                               : Exceptional Ashenbark Planks
 887: T8_PLANKS_LEVEL3@3                                               : Exceptional Whitewood Planks
 888: T4_PLANKS_LEVEL4@4                                               : Pristine Pine Planks
 889: T5_PLANKS_LEVEL4@4                                               : Pristine Cedar Planks
 890: T6_PLANKS_LEVEL4@4                                               : Pristine Bloodoak Planks
 891: T7_PLANKS_LEVEL4@4                                               : Pristine Ashenbark Planks
 892: T8_PLANKS_LEVEL4@4                                               : Pristine Whitewood Planks
 893: T2_STONEBLOCK                                                    : Limestone Block
 894: T3_STONEBLOCK                                                    : Sandstone Block
 895: T4_STONEBLOCK                                                    : Travertine Block
 896: T5_STONEBLOCK                                                    : Granite Block
 897: T6_STONEBLOCK                                                    : Slate Block
 898: T7_STONEBLOCK                                                    : Basalt Block
 899: T8_STONEBLOCK                                                    : Marble Block
 900: T2_METALBAR                                                      : Copper Bar
 901: T3_METALBAR                                                      : Bronze Bar
 902: T4_METALBAR                                                      : Steel Bar
 903: T5_METALBAR                                                      : Titanium Steel Bar
 904: T6_METALBAR                                                      : Runite Steel Bar
 905: T7_METALBAR                                                      : Meteorite Steel Bar
 906: T8_METALBAR                                                      : Adamantium Steel Bar
 907: T4_METALBAR_LEVEL1@1                                             : Uncommon Steel Bar
 908: T5_METALBAR_LEVEL1@1                                             : Uncommon Titanium Steel Bar
 909: T6_METALBAR_LEVEL1@1                                             : Uncommon Runite Steel Bar
 910: T7_METALBAR_LEVEL1@1                                             : Uncommon Meteorite Steel Bar
 911: T8_METALBAR_LEVEL1@1                                             : Uncommon Adamantium Steel Bar
 912: T4_METALBAR_LEVEL2@2                                             : Rare Steel Bar
 913: T5_METALBAR_LEVEL2@2                                             : Rare Titanium Steel Bar
 914: T6_METALBAR_LEVEL2@2                                             : Rare Runite Steel Bar
 915: T7_METALBAR_LEVEL2@2                                             : Rare Meteorite Steel Bar
 916: T8_METALBAR_LEVEL2@2                                             : Rare Adamantium Steel Bar
 917: T4_METALBAR_LEVEL3@3                                             : Exceptional Steel Bar
 918: T5_METALBAR_LEVEL3@3                                             : Exceptional Titanium Steel Bar
 919: T6_METALBAR_LEVEL3@3                                             : Exceptional Runite Steel Bar
 920: T7_METALBAR_LEVEL3@3                                             : Exceptional Meteorite Steel Bar
 921: T8_METALBAR_LEVEL3@3                                             : Exceptional Adamantium Steel Bar
 922: T4_METALBAR_LEVEL4@4                                             : Pristine Steel Bar
 923: T5_METALBAR_LEVEL4@4                                             : Pristine Titanium Steel Bar
 924: T6_METALBAR_LEVEL4@4                                             : Pristine Runite Steel Bar
 925: T7_METALBAR_LEVEL4@4                                             : Pristine Meteorite Steel Bar
 926: T8_METALBAR_LEVEL4@4                                             : Pristine Adamantium Steel Bar
 927: T2_LEATHER                                                       : Stiff Leather
 928: T3_LEATHER                                                       : Thick Leather
 929: T4_LEATHER                                                       : Worked Leather
 930: T5_LEATHER                                                       : Cured Leather
 931: T6_LEATHER                                                       : Hardened Leather
 932: T7_LEATHER                                                       : Reinforced Leather
 933: T8_LEATHER                                                       : Fortified Leather
 934: T4_LEATHER_LEVEL1@1                                              : Uncommon Worked Leather
 935: T5_LEATHER_LEVEL1@1                                              : Uncommon Cured Leather
 936: T6_LEATHER_LEVEL1@1                                              : Uncommon Hardened Leather
 937: T7_LEATHER_LEVEL1@1                                              : Uncommon Reinforced Leather
 938: T8_LEATHER_LEVEL1@1                                              : Uncommon Fortified Leather
 939: T4_LEATHER_LEVEL2@2                                              : Rare Worked Leather
 940: T5_LEATHER_LEVEL2@2                                              : Rare Cured Leather
 941: T6_LEATHER_LEVEL2@2                                              : Rare Hardened Leather
 942: T7_LEATHER_LEVEL2@2                                              : Rare Reinforced Leather
 943: T8_LEATHER_LEVEL2@2                                              : Rare Fortified Leather
 944: T4_LEATHER_LEVEL3@3                                              : Exceptional Worked Leather
 945: T5_LEATHER_LEVEL3@3                                              : Exceptional Cured Leather
 946: T6_LEATHER_LEVEL3@3                                              : Exceptional Hardened Leather
 947: T7_LEATHER_LEVEL3@3                                              : Exceptional Reinforced Leather
 948: T8_LEATHER_LEVEL3@3                                              : Exceptional Fortified Leather
 949: T4_LEATHER_LEVEL4@4                                              : Pristine Worked Leather
 950: T5_LEATHER_LEVEL4@4                                              : Pristine Cured Leather
 951: T6_LEATHER_LEVEL4@4                                              : Pristine Hardened Leather
 952: T7_LEATHER_LEVEL4@4                                              : Pristine Reinforced Leather
 953: T8_LEATHER_LEVEL4@4                                              : Pristine Fortified Leather
 954: T2_CLOTH                                                         : Simple Cloth
 955: T3_CLOTH                                                         : Neat Cloth
 956: T4_CLOTH                                                         : Fine Cloth
 957: T5_CLOTH                                                         : Ornate Cloth
 958: T6_CLOTH                                                         : Lavish Cloth
 959: T7_CLOTH                                                         : Opulent Cloth
 960: T8_CLOTH                                                         : Baroque Cloth
 961: T4_CLOTH_LEVEL1@1                                                : Uncommon Fine Cloth
 962: T5_CLOTH_LEVEL1@1                                                : Uncommon Ornate Cloth
 963: T6_CLOTH_LEVEL1@1                                                : Uncommon Lavish Cloth
 964: T7_CLOTH_LEVEL1@1                                                : Uncommon Opulent Cloth
 965: T8_CLOTH_LEVEL1@1                                                : Uncommon Baroque Cloth
 966: T4_CLOTH_LEVEL2@2                                                : Rare Fine Cloth
 967: T5_CLOTH_LEVEL2@2                                                : Rare Ornate Cloth
 968: T6_CLOTH_LEVEL2@2                                                : Rare Lavish Cloth
 969: T7_CLOTH_LEVEL2@2                                                : Rare Opulent Cloth
 970: T8_CLOTH_LEVEL2@2                                                : Rare Baroque Cloth
 971: T4_CLOTH_LEVEL3@3                                                : Exceptional Fine Cloth
 972: T5_CLOTH_LEVEL3@3                                                : Exceptional Ornate Cloth
 973: T6_CLOTH_LEVEL3@3                                                : Exceptional Lavish Cloth
 974: T7_CLOTH_LEVEL3@3                                                : Exceptional Opulent Cloth
 975: T8_CLOTH_LEVEL3@3                                                : Exceptional Baroque Cloth
 976: T4_CLOTH_LEVEL4@4                                                : Pristine Fine Cloth
 977: T5_CLOTH_LEVEL4@4                                                : Pristine Ornate Cloth
 978: T6_CLOTH_LEVEL4@4                                                : Pristine Lavish Cloth
 979: T7_CLOTH_LEVEL4@4                                                : Pristine Opulent Cloth
 980: T8_CLOTH_LEVEL4@4                                                : Pristine Baroque Cloth
 981: T4_ARTEFACT_2H_ARCANESTAFF_HELL                                  : Adept's Occult Orb
 982: T4_ARTEFACT_2H_BOW_HELL                                          : Adept's Demonic Arrowheads
 983: T4_ARTEFACT_2H_BOW_KEEPER                                        : Adept's Carved Bone
 984: T4_ARTEFACT_2H_CLEAVER_HELL                                      : Adept's Demonic Blade
 985: T4_ARTEFACT_2H_COMBATSTAFF_MORGANA                               : Adept's Reinforced Morgana Pole
 986: T4_ARTEFACT_2H_CROSSBOWLARGE_MORGANA                             : Adept's Alluring Bolts
 987: T4_ARTEFACT_2H_CURSEDSTAFF_MORGANA                               : Adept's Bloodforged Catalyst
 988: T5_ARTEFACT_2H_CURSEDSTAFF_MORGANA                               : Expert's Bloodforged Catalyst
 989: T6_ARTEFACT_2H_CURSEDSTAFF_MORGANA                               : Master's Bloodforged Catalyst
 990: T7_ARTEFACT_2H_CURSEDSTAFF_MORGANA                               : Grandmaster's Bloodforged Catalyst
 991: T8_ARTEFACT_2H_CURSEDSTAFF_MORGANA                               : Elder's Bloodforged Catalyst
 992: T4_ARTEFACT_2H_DUALAXE_KEEPER                                    : Adept's Keeper Axeheads
 993: T4_ARTEFACT_2H_DUALCROSSBOW_HELL                                 : Adept's Hellish Bolts
 994: T4_ARTEFACT_2H_DUALHAMMER_HELL                                   : Adept's Hellish Hammer Heads
 995: T4_ARTEFACT_2H_DUALSCIMITAR_UNDEAD                               : Adept's Cursed Blades
 996: T4_ARTEFACT_2H_DUALSICKLE_UNDEAD                                 : Adept's Ghastly Blades
 997: T4_ARTEFACT_2H_ENIGMATICORB_MORGANA                              : Adept's Possessed Catalyst
 998: T4_ARTEFACT_2H_FIRESTAFF_HELL                                    : Adept's Burning Orb
 999: T4_ARTEFACT_2H_HALBERD_MORGANA                                   : Adept's Morgana Halberd Head
1000: T4_ARTEFACT_2H_HAMMER_UNDEAD                                     : Adept's Ancient Hammer Head
1001: T4_ARTEFACT_2H_HARPOON_HELL                                      : Adept's Infernal Harpoon Tip
1002: T4_ARTEFACT_MAIN_HOLYSTAFF_MORGANA                               : Adept's Possessed Scroll
1003: T4_ARTEFACT_2H_HOLYSTAFF_HELL                                    : Adept's Infernal Scroll
1004: T4_ARTEFACT_2H_HOLYSTAFF_UNDEAD                                  : Adept's Ghastly Scroll
1005: T4_ARTEFACT_2H_ICECRYSTAL_UNDEAD                                 : Adept's Cursed Frozen Crystal
1006: T4_ARTEFACT_2H_ICEGAUNTLETS_HELL                                 : Adept's Icicle Orb
1007: T4_ARTEFACT_2H_INFERNOSTAFF_MORGANA                              : Adept's Unholy Scroll
1008: T4_ARTEFACT_2H_IRONGAUNTLETS_HELL                                : Adept's Black Leather
1009: T4_ARTEFACT_2H_LONGBOW_UNDEAD                                    : Adept's Ghastly Arrows
1010: T4_ARTEFACT_2H_MACE_MORGANA                                      : Adept's Imbued Mace Head
1011: T4_ARTEFACT_2H_NATURESTAFF_HELL                                  : Adept's Symbol of Blight
1012: T4_ARTEFACT_2H_NATURESTAFF_KEEPER                                : Adept's Preserved Log
1013: T4_ARTEFACT_2H_RAM_KEEPER                                        : Adept's Engraved Log
1014: T4_ARTEFACT_2H_REPEATINGCROSSBOW_UNDEAD                          : Adept's Lost Crossbow Mechanism
1015: T4_ARTEFACT_2H_ROCKSTAFF_KEEPER                                  : Adept's Preserved Rocks
1016: T4_ARTEFACT_2H_SKULLORB_HELL                                     : Adept's Cursed Jawbone
1017: T4_ARTEFACT_2H_TRIDENT_UNDEAD                                    : Adept's Cursed Barbs
1018: T4_ARTEFACT_2H_TWINSCYTHE_HELL                                   : Adept's Hellish Sicklehead Pair
1019: T4_ARTEFACT_MAIN_ARCANESTAFF_UNDEAD                              : Adept's Lost Arcane Crystal
1020: T4_ARTEFACT_MAIN_CURSEDSTAFF_UNDEAD                              : Adept's Lost Cursed Crystal
1021: T4_ARTEFACT_MAIN_FIRESTAFF_KEEPER                                : Adept's Wildfire Orb
1022: T4_ARTEFACT_MAIN_FROSTSTAFF_KEEPER                               : Adept's Hoarfrost Orb
1023: T4_ARTEFACT_MAIN_MACE_HELL                                       : Adept's Infernal Mace Head
1024: T4_ARTEFACT_MAIN_NATURESTAFF_KEEPER                              : Adept's Druidic Inscriptions
1025: T4_ARTEFACT_MAIN_RAPIER_MORGANA                                  : Adept's Hardened Debole
1026: T4_ARTEFACT_MAIN_ROCKMACE_KEEPER                                 : Adept's Runed Rock
1027: T4_ARTEFACT_MAIN_SCIMITAR_MORGANA                                : Adept's Bloodforged Blade
1028: T4_ARTEFACT_MAIN_SPEAR_KEEPER                                    : Adept's Keeper Spearhead
1029: T5_ARTEFACT_2H_ARCANESTAFF_HELL                                  : Expert's Occult Orb
1030: T5_ARTEFACT_2H_BOW_HELL                                          : Expert's Demonic Arrowheads
1031: T5_ARTEFACT_2H_BOW_KEEPER                                        : Expert's Carved Bone
1032: T5_ARTEFACT_2H_CLEAVER_HELL                                      : Expert's Demonic Blade
1033: T5_ARTEFACT_2H_COMBATSTAFF_MORGANA                               : Expert's Reinforced Morgana Pole
1034: T5_ARTEFACT_2H_CROSSBOWLARGE_MORGANA                             : Expert's Alluring Bolts
1035: T5_ARTEFACT_2H_DUALAXE_KEEPER                                    : Expert's Keeper Axeheads
1036: T5_ARTEFACT_2H_DUALCROSSBOW_HELL                                 : Expert's Hellish Bolts
1037: T5_ARTEFACT_2H_DUALHAMMER_HELL                                   : Expert's Hellish Hammer Heads
1038: T5_ARTEFACT_2H_DUALSCIMITAR_UNDEAD                               : Expert's Cursed Blades
1039: T5_ARTEFACT_2H_DUALSICKLE_UNDEAD                                 : Expert's Ghastly Blades
1040: T5_ARTEFACT_2H_ENIGMATICORB_MORGANA                              : Expert's Possessed Catalyst
1041: T5_ARTEFACT_2H_FIRESTAFF_HELL                                    : Expert's Burning Orb
1042: T5_ARTEFACT_2H_HALBERD_MORGANA                                   : Expert's Morgana Halberd Head
1043: T5_ARTEFACT_2H_HAMMER_UNDEAD                                     : Expert's Ancient Hammer Head
1044: T5_ARTEFACT_2H_HARPOON_HELL                                      : Expert's Infernal Harpoon Tip
1045: T5_ARTEFACT_MAIN_HOLYSTAFF_MORGANA                               : Expert's Possessed Scroll
1046: T5_ARTEFACT_2H_HOLYSTAFF_HELL                                    : Expert's Infernal Scroll
1047: T5_ARTEFACT_2H_HOLYSTAFF_UNDEAD                                  : Expert's Ghastly Scroll
1048: T5_ARTEFACT_2H_ICECRYSTAL_UNDEAD                                 : Expert's Cursed Frozen Crystal
1049: T5_ARTEFACT_2H_ICEGAUNTLETS_HELL                                 : Expert's Icicle Orb
1050: T5_ARTEFACT_2H_INFERNOSTAFF_MORGANA                              : Expert's Unholy Scroll
1051: T5_ARTEFACT_2H_IRONGAUNTLETS_HELL                                : Expert's Black Leather
1052: T5_ARTEFACT_2H_LONGBOW_UNDEAD                                    : Expert's Ghastly Arrows
1053: T5_ARTEFACT_2H_MACE_MORGANA                                      : Expert's Imbued Mace Head
1054: T5_ARTEFACT_2H_NATURESTAFF_HELL                                  : Expert's Symbol of Blight
1055: T5_ARTEFACT_2H_NATURESTAFF_KEEPER                                : Expert's Preserved Log
1056: T5_ARTEFACT_2H_RAM_KEEPER                                        : Expert's Engraved Log
1057: T5_ARTEFACT_2H_REPEATINGCROSSBOW_UNDEAD                          : Expert's Lost Crossbow Mechanism
1058: T5_ARTEFACT_2H_ROCKSTAFF_KEEPER                                  : Expert's Preserved Rocks
1059: T4_ARTEFACT_2H_SCYTHE_HELL                                       : Adept's Hellish Sicklehead
1060: T5_ARTEFACT_2H_SCYTHE_HELL                                       : Expert's Hellish Sicklehead
1061: T6_ARTEFACT_2H_SCYTHE_HELL                                       : Master's Hellish Sicklehead
1062: T7_ARTEFACT_2H_SCYTHE_HELL                                       : Grandmaster's Hellish Sicklehead
1063: T8_ARTEFACT_2H_SCYTHE_HELL                                       : Elder's Hellish Sicklehead
1064: T5_ARTEFACT_2H_SKULLORB_HELL                                     : Expert's Cursed Jawbone
1065: T5_ARTEFACT_2H_TRIDENT_UNDEAD                                    : Expert's Cursed Barbs
1066: T5_ARTEFACT_2H_TWINSCYTHE_HELL                                   : Expert's Hellish Sicklehead Pair
1067: T5_ARTEFACT_MAIN_ARCANESTAFF_UNDEAD                              : Expert's Lost Arcane Crystal
1068: T5_ARTEFACT_MAIN_CURSEDSTAFF_UNDEAD                              : Expert's Lost Cursed Crystal
1069: T5_ARTEFACT_MAIN_FIRESTAFF_KEEPER                                : Expert's Wildfire Orb
1070: T5_ARTEFACT_MAIN_FROSTSTAFF_KEEPER                               : Expert's Hoarfrost Orb
1071: T5_ARTEFACT_MAIN_MACE_HELL                                       : Expert's Infernal Mace Head
1072: T5_ARTEFACT_MAIN_NATURESTAFF_KEEPER                              : Expert's Druidic Inscriptions
1073: T5_ARTEFACT_MAIN_RAPIER_MORGANA                                  : Expert's Hardened Debole
1074: T5_ARTEFACT_MAIN_ROCKMACE_KEEPER                                 : Expert's Runed Rock
1075: T5_ARTEFACT_MAIN_SCIMITAR_MORGANA                                : Expert's Bloodforged Blade
1076: T5_ARTEFACT_MAIN_SPEAR_KEEPER                                    : Expert's Keeper Spearhead
1077: T6_ARTEFACT_2H_ARCANESTAFF_HELL                                  : Master's Occult Orb
1078: T6_ARTEFACT_2H_BOW_HELL                                          : Master's Demonic Arrowheads
1079: T6_ARTEFACT_2H_BOW_KEEPER                                        : Master's Carved Bone
1080: T6_ARTEFACT_2H_CLEAVER_HELL                                      : Master's Demonic Blade
1081: T6_ARTEFACT_2H_COMBATSTAFF_MORGANA                               : Master's Reinforced Morgana Pole
1082: T6_ARTEFACT_2H_CROSSBOWLARGE_MORGANA                             : Master's Alluring Bolts
1083: T6_ARTEFACT_2H_DUALAXE_KEEPER                                    : Master's Keeper Axeheads
1084: T6_ARTEFACT_2H_DUALCROSSBOW_HELL                                 : Master's Hellish Bolts
1085: T6_ARTEFACT_2H_DUALHAMMER_HELL                                   : Master's Hellish Hammer Heads
1086: T6_ARTEFACT_2H_DUALSCIMITAR_UNDEAD                               : Master's Cursed Blades
1087: T6_ARTEFACT_2H_DUALSICKLE_UNDEAD                                 : Master's Ghastly Blades
1088: T6_ARTEFACT_2H_ENIGMATICORB_MORGANA                              : Master's Possessed Catalyst
1089: T6_ARTEFACT_2H_FIRESTAFF_HELL                                    : Master's Burning Orb
1090: T6_ARTEFACT_2H_HALBERD_MORGANA                                   : Master's Morgana Halberd Head
1091: T6_ARTEFACT_2H_HAMMER_UNDEAD                                     : Master's Ancient Hammer Head
1092: T6_ARTEFACT_2H_HARPOON_HELL                                      : Master's Infernal Harpoon Tip
1093: T6_ARTEFACT_MAIN_HOLYSTAFF_MORGANA                               : Master's Possessed Scroll
1094: T6_ARTEFACT_2H_HOLYSTAFF_HELL                                    : Master's Infernal Scroll
1095: T6_ARTEFACT_2H_HOLYSTAFF_UNDEAD                                  : Master's Ghastly Scroll
1096: T6_ARTEFACT_2H_ICECRYSTAL_UNDEAD                                 : Master's Cursed Frozen Crystal
1097: T6_ARTEFACT_2H_ICEGAUNTLETS_HELL                                 : Master's Icicle Orb
1098: T6_ARTEFACT_2H_INFERNOSTAFF_MORGANA                              : Master's Unholy Scroll
1099: T6_ARTEFACT_2H_IRONGAUNTLETS_HELL                                : Master's Black Leather
1100: T6_ARTEFACT_2H_LONGBOW_UNDEAD                                    : Master's Ghastly Arrows
1101: T6_ARTEFACT_2H_MACE_MORGANA                                      : Master's Imbued Mace Head
1102: T6_ARTEFACT_2H_NATURESTAFF_HELL                                  : Master's Symbol of Blight
1103: T6_ARTEFACT_2H_NATURESTAFF_KEEPER                                : Master's Preserved Log
1104: T6_ARTEFACT_2H_RAM_KEEPER                                        : Master's Engraved Log
1105: T6_ARTEFACT_2H_REPEATINGCROSSBOW_UNDEAD                          : Master's Lost Crossbow Mechanism
1106: T6_ARTEFACT_2H_ROCKSTAFF_KEEPER                                  : Master's Preserved Rocks
